Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A194,11472447835172239,1/1/21,21005580,Q,1,A194,21.99,21.5,3.3,9.97,8.98,8.23,,,
A195,11235956764004259,1/1/21,21005580,Q,1,A195,33.89,28.86,5.08,17.09,8.98,6.69,,,
A196,11402537199849843,1/1/21,21036168,L,4,A196,42.89,43.34,6.43,31.16,5.75,5.75,,,
A197,11168683761525021,1/1/21,21005580,P,3,A197,11.13,16.78,1.89,5.91,8.98,8.98,,,
A198,11169319038369839,1/1/21,21005581,Q,1,A198,94.49,68.67,14.17,46.54,8.98,7.96,,,
A199,11360157672853856,1/1/21,21036169,L,2,A199,13.98,13.63,2.1,6.78,4.75,4.75,,,
A200,11395291610635441,1/1/21,21036170,L,6,A200,52.43,49.38,7.86,34.02,7.5,7.5,,,
A201,11205489392089026,1/1/21,21005581,O,3,A201,24.68,21.88,3.7,8.25,9.93,9.93,,,
A202,11424781856073846,1/1/21,21005581,Q,1,A202,33.89,28.55,5.08,17.09,8.3,6.38,,,
A203,11162588877030606,1/1/21,21005581,Q,5,A203,169.45,125.97,25.4,85.45,9.02,15.12,,,
A204,11229888864988227,1/1/21,21005581,Q,5,A204,12.55,10.36,1,2.85,8.98,6.51,,,
A205,11192108086428212,1/1/21,21005581,Q,1,A205,94.49,67.09,14.17,46.54,8.98,6.38,,,
A206,11115818593809044,1/1/21,21005581,Q,1,A206,33.89,29.81,5.08,17.09,8.98,7.64,,,
A207,11213913800124246,1/1/21,21036171,L,1,A207,9.97,10.52,0.8,4.97,4.75,4.75,,,
A208,11419157971115454,1/1/21,21005582,Q,1,A208,94.49,69.69,14.17,46.54,8.98,8.98,,,
A209,11282016795098611,1/1/21,21005582,Q,1,A209,36.95,18.5,5.54,2.94,12.96,10.02,,,
A210,11164417554010656,1/1/21,21005582,Q,1,A210,33.89,28.55,5.08,17.09,8.51,6.38,,,
A211,11417888825600257,1/1/21,21036172,I,1,A211,143,145.39,11.44,118.49,10.74,13.46,,,
A212,11249194239389049,1/1/21,21005582,Q,1,A212,33.89,30.13,5.08,17.09,8.3,7.96,,,
A213,11464695540372208,1/1/21,21005656,P,1,A213,20.33,29.02,3.05,16.99,8.98,8.98,,,
A214,11158958120996238,1/1/21,21005582,O,1,A214,15.99,18.4,2.4,7.02,8.98,8.98,,,
A215,11158958120996238,1/1/21,21036173,L,6,A215,51.09,49.7,7.66,33.29,8.75,8.75,,,
A216,11164108230959406,1/1/21,21005582,Q,12,A216,40.04,69.99,6,12.84,9.93,51.15,,,
A217,11318124730533867,1/1/21,21005582,Q,1,A217,94.49,67.24,14.17,46.54,8.98,6.53,,,
A218,11286426007097845,1/1/21,21005582,Q,16,A218,32.83,57.42,4.92,19.36,8.3,33.14,,,
A219,11456597877005029,1/1/21,21005583,O,1,A219,8.1,12.67,0.97,2.72,8.98,8.98,,,
A220,11222063971249844,1/1/21,21005583,O,1,A220,39.37,15.43,5.91,0.54,8.98,8.98,,,
A221,11294349216613065,1/1/21,21005583,P,1,A221,5.48,10.27,0.44,0.85,8.98,8.98,,,
A222,11157946095211400,1/1/21,21036174,L,1,A222,9.89,9.87,0.79,4.33,4.75,4.75,,,
A223,11102622893828258,1/1/21,21005583,Q,1,A223,36.49,32.81,2.92,23.51,8.98,6.38,,,
A224,11173671235333056,1/1/21,21036175,L,2,A224,45.73,42.79,6.86,31.18,4.75,4.75,,,
A225,11334019799184241,1/1/21,21005583,P,1,A225,18.73,19.69,2.81,7.9,8.98,8.98,,,
A226,11412484942031443,1/1/21,21005583,Q,1,A226,33.89,31.59,5.08,17.09,8.98,9.42,,,
A227,11110959925117831,1/1/21,21005583,Q,1,A227,33.89,29.81,5.08,17.09,8.98,7.64,,,
A228,11491646967909051,1/1/21,21036176,L,3,A228,56.97,56.85,8.55,41.31,6.99,6.99,,,
A229,11100716197109047,1/1/21,21005584,Q,1,A229,24.37,18.4,3.66,3.01,8.98,11.73,,,
A230,11123053503213028,1/1/21,21005584,P,2,A230,8.23,15.55,1.23,5.34,8.98,8.98,,,
A231,11324128695958633,1/1/21,21005584,Q,1,A231,33.89,30.13,5.08,17.09,8.3,7.96,,,
A232,11399426468650640,1/1/21,21036177,L,1,A232,22.5,21.32,3.38,10.95,6.99,6.99,,,
A233,11433632476196219,1/1/21,21005584,Q,1,A233,12.91,12.03,1.94,3.71,8.3,6.38,,,
A234,11476488956273044,1/1/21,21005584,Q,12,A234,26.54,28.26,3.98,15.3,8.98,8.98,,,
A235,11196374716762617,1/1/21,21005584,Q,1,A235,33.89,29.81,5.08,17.09,8.98,7.64,,,
A236,11174137921585849,1/1/21,21036178,L,3,A236,39.08,31.94,5.86,18.09,7.99,7.99,,,
A237,11374400375343403,1/1/21,21005585,Q,1,A237,33.98,28.95,5.17,17.09,8.98,6.69,,,
A238,11404463592581051,1/1/21,21005584,O,1,A238,5.41,11.37,0.81,1.58,8.98,8.98,,,
